Identifier	Chromosome	Prediction 	Probability 	gpi-Prediction	Anchor Position
FgramCML3066_01t22533	Chromosome_4	Non-effector	1	0.493	G-348
FgramCML3066_01t22543	Chromosome_4	Non-effector	1	0.129	A-478
FgramCML3066_01t22555	Chromosome_4	Non-effector	1	0.109	C-291
FgramCML3066_01t22655	Chromosome_4	Non-effector	1	0.604	Y-454
FgramCML3066_01t22697	Chromosome_4	Non-effector	1	0.001	S-287
FgramCML3066_01t22711	Chromosome_4	Non-effector	1	0.216	G-858
FgramCML3066_01t22757	Chromosome_4	Non-effector	1	0	N-404
FgramCML3066_01t22767	Chromosome_4	Effector	0.615	0.004	N-190
FgramCML3066_01t22783	Chromosome_4	Non-effector	1	0.89	D-866
FgramCML3066_01t22807	Chromosome_4	Non-effector	1	0.36	T-610
FgramCML3066_01t22811	Chromosome_4	Non-effector	1	0.109	E-478
FgramCML3066_01t22857	Chromosome_4	Effector	0.999	0.154	V-140
FgramCML3066_01t22957	Chromosome_4	Non-effector	1	0.009	S-361
FgramCML3066_01t23077	Chromosome_4	Effector	1	0.627	V-126
FgramCML3066_01t23123	Chromosome_4	Non-effector	1	0.001	S-339
FgramCML3066_01t23133	Chromosome_4	Non-effector	1	0.627	N-691
FgramCML3066_01t23251	Chromosome_4	Non-effector	1	0.182	D-502
FgramCML3066_01t23261	Chromosome_4	Non-effector	0.824	0.968	D-138
FgramCML3066_01t23265	Chromosome_4	Non-effector	0.995	0.002	V-175
FgramCML3066_01t23519	Chromosome_4	Non-effector	1	0.074	H-494
FgramCML3066_01t23523	Chromosome_4	Non-effector	0.83	0.867	P-74
FgramCML3066_01t23535	Chromosome_4	Non-effector	1	0.36	G-514
FgramCML3066_01t23657	Chromosome_4	Effector	0.982	0.463	A-95
FgramCML3066_01t23785	Chromosome_4	Non-effector	0.999	0.652	Y-180
FgramCML3066_01t23807	Chromosome_4	Non-effector	1	0.129	S-627
FgramCML3066_01t23827	Chromosome_4	Non-effector	0.993	0.006	S-297
FgramCML3066_01t24111	Chromosome_4	Non-effector	1	0.773	L-367
FgramCML3066_01t24127	Chromosome_4	Effector	0.988	0.627	S-79
FgramCML3066_01t24255	Chromosome_4	Non-effector	1	0.604	K-379
FgramCML3066_01t24321	Chromosome_4	Non-effector	1	0.252	F-338
FgramCML3066_01t24361	Chromosome_4	Effector	0.999	0.773	Q-101
FgramCML3066_01t24405	Chromosome_4	Non-effector	1	0.06	T-655
FgramCML3066_01t24757	Chromosome_4	Non-effector	1	0.89	N-633
FgramCML3066_01t24887	Chromosome_4	Effector	1	0.986	H-80
FgramCML3066_01t24905	Chromosome_4	Non-effector	1	0.428	V-274
FgramCML3066_01t25119	Chromosome_4	Non-effector	1	0.182	D-386
FgramCML3066_01t25139	Chromosome_4	Non-effector	1	0.216	D-610
FgramCML3066_01t25165	Chromosome_4	Non-effector	1	0.05	K-440
FgramCML3066_01t25175	Chromosome_4	Non-effector	1	0.522	D-384
FgramCML3066_01t25203	Chromosome_4	Non-effector	1	0.604	V-860
FgramCML3066_01t25275	Chromosome_4	Effector	1	0.627	S-45
FgramCML3066_01t25295	Chromosome_4	Non-effector	0.978	0.288	Y-297
FgramCML3066_01t25331	Chromosome_4	Non-effector	0.999	0.652	S-305
FgramCML3066_01t25339	Chromosome_4	Non-effector	1	0.968	D-250
FgramCML3066_01t25359	Chromosome_4	Non-effector	1	0.021	V-543
FgramCML3066_01t25415	Chromosome_4	Non-effector	1	0.109	V-481
FgramCML3066_01t25459	Chromosome_4	Non-effector	1	0.252	D-404
FgramCML3066_01t25473	Chromosome_4	Non-effector	1	0.018	N-224
FgramCML3066_01t25477	Chromosome_4	Non-effector	1	0.026	P-216
FgramCML3066_01t25487	Chromosome_4	Non-effector	1	0.652	V-531
FgramCML3066_01t25495	Chromosome_4	Non-effector	1	0.463	S-431
FgramCML3066_01t25497	Chromosome_4	Non-effector	1	0.323	N-491
FgramCML3066_01t25507	Chromosome_4	Non-effector	1	0.879	N-800
FgramCML3066_01t25569	Chromosome_4	Effector	1	0.824	N-66
FgramCML3066_01t25571	Chromosome_4	Effector	1	0.129	N-60
FgramCML3066_01t25577	Chromosome_4	Non-effector	1	0.36	D-581
FgramCML3066_01t25595	Chromosome_4	Non-effector	0.995	0.323	Y-189
FgramCML3066_01t25665	Chromosome_4	Effector	0.996	0.323	N-80
FgramCML3066_01t25701	Chromosome_4	Non-effector	0.929	0.72	D-318
FgramCML3066_01t25711	Chromosome_4	Non-effector	1	0.627	E-474
FgramCML3066_01t25723	Chromosome_4	Non-effector	1	0.493	K-386
FgramCML3066_01t25741	Chromosome_4	Effector	0.997	0.007	C-254
FgramCML3066_01t25767	Chromosome_4	Non-effector	0.98	0.154	K-313
FgramCML3066_01t25773	Chromosome_4	Non-effector	1	0.954	N-407
FgramCML3066_01t25781	Chromosome_4	Non-effector	1	0.824	R-417
FgramCML3066_01t25795	Chromosome_4	Non-effector	0.994	0.652	D-292
FgramCML3066_01t25797	Chromosome_4	Effector	0.953	0.698	Q-121
FgramCML3066_01t25799	Chromosome_4	Non-effector	1	0.698	Y-611
FgramCML3066_01t25853	Chromosome_4	Effector	0.944	0.824	S-164
FgramCML3066_01t25873	Chromosome_4	Non-effector	1	0.109	N-540
FgramCML3066_01t26017	Chromosome_4	Effector	0.886	0.72	S-187
FgramCML3066_01t26043	Chromosome_4	Non-effector	1	0.036	D-727
FgramCML3066_01t26049	Chromosome_4	Non-effector	1	0.909	N-352
FgramCML3066_01t26065	Chromosome_4	Non-effector	1	0.018	S-360
FgramCML3066_01t26071	Chromosome_4	Effector	0.575	0.493	L-198
FgramCML3066_01t26107	Chromosome_4	Non-effector	1	0.522	V-1368
FgramCML3066_01t26119	Chromosome_4	Non-effector	1	0.789	V-1441
FgramCML3066_01t26129	Chromosome_4	Non-effector	1	0.463	N-344
FgramCML3066_01t26279	Chromosome_4	Non-effector	1	0.493	E-519
FgramCML3066_01t26285	Chromosome_4	Non-effector	0.999	0.018	H-312
FgramCML3066_01t26459	Chromosome_4	Non-effector	0.981	0.001	E-188
FgramCML3066_01t26551	Chromosome_4	Effector	0.999	0.604	S-85
FgramCML3066_01t26677	Chromosome_4	Non-effector	0.999	0	N-202
FgramCML3066_01t26685	Chromosome_4	Non-effector	1	0.06	G-552
FgramCML3066_01t26823	Chromosome_4	Effector	0.995	0.109	D-155
FgramCML3066_01t26883	Chromosome_4	Non-effector	1	0.003	S-843
FgramCML3066_01t26971	Chromosome_4	Non-effector	1	0.72	N-554
FgramCML3066_01t27081	Chromosome_4	Non-effector	1	0.789	M-577
FgramCML3066_01t27089	Chromosome_4	Non-effector	1	0.323	K-643
FgramCML3066_01t27157	Chromosome_4	Non-effector	1	0.867	G-746
FgramCML3066_01t27161	Chromosome_4	Non-effector	1	0	N-107
FgramCML3066_01t27169	Chromosome_4	Non-effector	1	0.675	F-7369
FgramCML3066_01t27217	Chromosome_4	Non-effector	1	0.927	R-409
FgramCML3066_01t27243	Chromosome_4	Non-effector	0.805	0	N-179
FgramCML3066_01t27305	Chromosome_4	Non-effector	1	0.522	S-421
FgramCML3066_01t27355	Chromosome_4	Non-effector	0.992	0.741	D-276
FgramCML3066_01t27369	Chromosome_4	Effector	0.974	0.014	F-377
FgramCML3066_01t27385	Chromosome_4	Non-effector	1	0.182	N-348
FgramCML3066_01t27387	Chromosome_4	Effector	1	0.652	N-348
FgramCML3066_01t27407	Chromosome_4	Non-effector	0.643	0.89	R-169
FgramCML3066_01t27439	Chromosome_4	Non-effector	1	0.001	A-269
FgramCML3066_01t27505	Chromosome_4	Non-effector	1	0	S-222
FgramCML3066_01t27535	Chromosome_4	Non-effector	0.891	0.009	Y-306
FgramCML3066_01t27539	Chromosome_4	Non-effector	1	0	N-401
FgramCML3066_01t27545	Chromosome_4	Non-effector	1	0.216	W-625
FgramCML3066_01t27783	Chromosome_4	Effector	0.918	0.789	L-93
FgramCML3066_01t27811	Chromosome_4	Non-effector	1	0.018	Q-536
FgramCML3066_01t27905	Chromosome_4	Non-effector	1	0.493	G-554
FgramCML3066_01t27907	Chromosome_4	Non-effector	1	0.627	L-324
FgramCML3066_01t27927	Chromosome_4	Non-effector	1	0.323	S-658
FgramCML3066_01t27931	Chromosome_4	Effector	0.973	0.675	W-185
FgramCML3066_01t27945	Chromosome_4	Effector	1	0.698	R-90
FgramCML3066_01t27947	Chromosome_4	Effector	0.581	0.014	V-238
FgramCML3066_01t27961	Chromosome_4	Non-effector	1	0.84	N-501
FgramCML3066_01t27983	Chromosome_4	Non-effector	1	0.026	G-360
FgramCML3066_01t28007	Chromosome_4	Non-effector	1	0.968	D-500
FgramCML3066_01t28009	Chromosome_4	Effector	1	0.522	S-78
FgramCML3066_01t28011	Chromosome_4	Non-effector	1	0.899	K-328
FgramCML3066_01t28021	Chromosome_4	Non-effector	0.77	0.005	N-143
FgramCML3066_01t28023	Chromosome_4	Non-effector	1	0.015	D-675
FgramCML3066_01t28041	Chromosome_4	Non-effector	1	0.879	Y-818
FgramCML3066_01t28091	Chromosome_4	Effector	1	0.036	K-62
FgramCML3066_01t28137	Chromosome_4	Non-effector	1	0.879	L-645
FgramCML3066_01t28169	Chromosome_4	Non-effector	1	0.323	I-492
FgramCML3066_01t28173	Chromosome_4	Non-effector	0.999	0.252	T-85
FgramCML3066_01t28277	Chromosome_4	Effector	0.996	0.548	R-99
FgramCML3066_01t28303	Chromosome_4	Effector	0.994	0.014	G-195
FgramCML3066_01t28349	Chromosome_4	Non-effector	0.991	0.604	F-326
